StockCode,Description,TotalRevenue,TotalQuantity,TransactionCount,RevenueContribution,CumulativeRevenueShare,ABC_Class
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,39822.34,13874,644,0.002291959056675112,0.18315971972479195,A
21232,STRAWBERRY CERAMIC TRINKET BOX,39682.67,33899,1818,0.002283920404967407,0.18544364012975936,A
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,0.002280284680557185,0.18772392481031655,A
21166,COOK WITH WINE METAL SIGN ,37029.340000000004,19652,1225,0.002131209044363089,0.18985513385467964,A
82482,WOODEN PICTURE FRAME WHITE FINISH,37011.1,15643,1658,0.002130159248364316,0.19198529310304396,A
20728,LUNCH BAG CARS BLUE,36644.28,23304,1797,0.0021090470680863727,0.19409434017113034,A
84078A,SET/4 WHITE RETRO STORAGE CUBES ,36259.65,1007,234,0.002086909840289891,0.19618125001142023,A
22629,SPACEBOY LUNCH BOX ,36150.99,20271,1108,0.002080655956889309,0.19826190596830953,A
23284,DOORMAT KEEP CALM AND COME IN,35880.85,5338,648,0.0020651081558417006,0.20032701412415124,A
23298,SPOTTY BUNTING,35509.55,7633,1003,0.00204373813093248,0.20237075225508372,A
85066,CREAM SWEETHEART MINI CHEST,35264.729999999996,2948,809,0.0020296476124884305,0.20440039986757214,A
20713,JUMBO BAG OWLS,35162.42,19463,920,0.0020237592008308424,0.20642415906840297,A
48194,DOORMAT HEARTS,35069.4,5788,857,0.0020184054714555244,0.2084425645398585,A
22114,HOT WATER BOTTLE TEA AND SYMPATHY,34479.62,8848,1298,0.001984460916403113,0.2104270254562616,A
22960,JAM MAKING SET WITH JARS,33833.72,8454,903,0.00194728639690711,0.2123743118531687,A
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,33670.240000000005,12356,985,0.0019378773700496918,0.2143121892232184,A
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33298.3,7010,1146,0.0019164705101931453,0.21622865973341154,A
20726,LUNCH BAG WOODLAND,33004.76,20916,1585,0.0018995759313839538,0.2181282356647955,A
22197,SMALL POPCORN HOLDER,32505.93,42955,1039,0.0018708659676741053,0.2199991016324696,A
22699,ROSES REGENCY TEACUP AND SAUCER ,32470.65,11939,1056,0.0018688354412027955,0.2218679370736724,A
20725,LUNCH BAG RED RETROSPOT,32137.5,20294,1520,0.0018496611244817965,0.22371759819815418,A
84029E,RED WOOLLY HOTTIE WHITE HEART.,31876.47,9259,956,0.0018346376458875224,0.2255522358440417,A
20685,DOORMAT RED RETROSPOT,31864.2,4806,758,0.0018339314508817692,0.22738616729492345,A
21755,LOVE BUILDING BLOCK WORD,31590.41,5367,1485,0.0018181735755251958,0.22920434087044864,A
48187,DOORMAT NEW ENGLAND,31461.34,5146,728,0.001810745002632567,0.2310150858730812,A
22630,DOLLY GIRL LUNCH BOX,30921.64,17340,998,0.0017796827822083637,0.23279476865528956,A
22727,ALARM CLOCK BAKELIKE RED ,30703.09,8512,1144,0.0017671042232428097,0.23456187287853236,A
85152,HAND OVER THE CHOCOLATE   SIGN ,30615.930000000004,16146,1300,0.0017620877638539392,0.2363239606423863,A
82486,WOOD S/3 CABINET ANT WHITE FINISH,30363.75,3913,1002,0.0017475736435156482,0.23807153428590197,A
22382,LUNCH BAG SPACEBOY DESIGN ,30131.7,18834,1874,0.00173421809737995,0.23980575238328192,A
22385,JUMBO BAG SPACEBOY DESIGN,29810.15,16383,971,0.001715711414079223,0.24152146379736114,A
21523,DOORMAT FANCY FONT HOME SWEET HOME,29691.95,4825,572,0.0017089084597450728,0.24323037225710623,A
48185,DOORMAT FAIRY CAKE,29116.96,4760,420,0.0016758151373035077,0.24490618739440972,A
20712,JUMBO BAG WOODLAND ANIMALS,29105.5,15709,915,0.0016751555615279635,0.2465813429559377,A
15036,ASSORTED COLOURS SILK FAN,28766.32,40994,634,0.0016556341905376332,0.24823697714647533,A
47590B,PINK HAPPY BIRTHDAY BUNTING,28581.4,5652,810,0.0016449911929448157,0.24988196833942014,A
20679,EDWARDIAN PARASOL RED,28557.920000000002,6029,622,0.001643639810814817,0.25152560815023495,A
20914,SET/5 RED SPOTTY LID GLASS BOWLS,28513.300000000003,10526,787,0.001641071724330978,0.2531666798745659,A
82483,WOOD 2 DRAWER CABINET WHITE FINISH,27952.22,4774,1053,0.0016087789864476876,0.2547754588610136,A
22379,RECYCLING BAG RETROSPOT ,27893.78,14259,1013,0.0016054154953200417,0.25638087435633367,A
22139,RETROSPOT TEA SET CERAMIC 11 PC ,27595.33,5745,1145,0.0015882383233993388,0.257969112679733,A
22865,HAND WARMER OWL DESIGN,27514.63,13675,1058,0.0015835936667600334,0.259552706346493,A
22188,BLACK HEART CARD HOLDER,27324.45,10255,487,0.0015726479319438855,0.2611253542784369,A
22622,BOX OF VINTAGE ALPHABET BLOCKS,27251.26,2833,511,0.0015684355103896008,0.2626937897888265,A
20725,LUNCH BAG RED SPOTTY,27237.6,17456,1059,0.0015676493144826254,0.2642614391033091,A
22666,RECIPE BOX PANTRY YELLOW DESIGN,27222.52,9600,1277,0.001566781391036272,0.2658282204943454,A
22077,6 RIBBONS RUSTIC CHARM,27031.04,16026,1361,0.0015557608352333697,0.26738398132957875,A
21928,JUMBO BAG SCANDINAVIAN PAISLEY,26847.1,15358,721,0.001545174241153644,0.2689291555707324,A
22659,LUNCH BOX I LOVE LONDON,26596.719999999998,15156,763,0.0015307637191047056,0.2704599192898371,A
23245,SET OF 3 REGENCY CAKE TINS,26566.280000000002,5844,718,0.0015290117569225442,0.27198893104675964,A
23199,JUMBO BAG APPLES,26426.3,13875,718,0.0015209552632872282,0.27350988631004686,A
21977,PACK OF 60 PINK PAISLEY CAKE CASES,26407.35,54592,1578,0.0015198646035187665,0.27502975091356563,A
22467,GUMBALL COAT RACK,26149.13,11460,928,0.001505002853365093,0.2765347537669307,A
22492,MINI PAINT SET VINTAGE ,25900.19,41507,618,0.0014906752099476366,0.2780254289768783,A
72741,GRAND CHOCOLATECANDLE,25895.4,19284,823,0.0014903995233887487,0.27951582850026707,A
84991,60 TEATIME FAIRY CAKE CASES,25785.92,52828,1765,0.0014840984452119063,0.280999926945479,A
22752,SET 7 BABUSHKA NESTING BOXES,25620.99,3273,577,0.0014746059641769541,0.28247453290965596,A
22726,ALARM CLOCK BAKELIKE GREEN,24898.96,6713,1041,0.0014330498125873906,0.28390758272224337,A
22386,JUMBO BAG PINK WITH WHITE SPOTS,24450.6,13766,712,0.001407244629801777,0.28531482735204516,A
85099B,JUMBO BAG RED WHITE SPOTTY ,24323.85,13879,465,0.0013999495835932024,0.28671477693563835,A
23355,HOT WATER BOTTLE KEEP CALM,24302.55,5313,719,0.0013987236705025306,0.2881135006061409,A
47566B,TEA TIME PARTY BUNTING,24255.3,5612,655,0.0013960042154070266,0.2895095048215479,A
22149,FELTCRAFT 6 FLOWER FRIENDS,24248.29,12174,1189,0.0013956007576246036,0.29090510557917254,A
48138,DOOR MAT UNION FLAG,24216.23,3733,637,0.0013937555569820245,0.29229886113615455,A
23201,JUMBO BAG ALPHABET,24160.44,12533,752,0.0013905445855581476,0.2936894057217127,A
22624,IVORY KITCHEN SCALES,24137.48,2916,1065,0.0013892231318228508,0.29507862885353553,A
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24098.03,105185,920,0.0013869526026478744,0.2964655814561834,A
20972,PINK CREAM FELT CRAFT TRINKET BOX ,23812.52,20064,1224,0.0013705201873184059,0.2978361016435018,A
37503,TEA TIME CAKE STAND IN GIFT BOX,23784.8,2384,465,0.0013689247736623767,0.2992050264171642,A
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,23598.510000000002,39259,1100,0.001358202926260441,0.3005632293434246,A
20971,PINK BLUE FELT CRAFT TRINKET BOX,23554.3,20500,1003,0.001355658437164732,0.30191888778058934,A
47590A,BLUE HAPPY BIRTHDAY BUNTING,23531.47,4681,633,0.0013543444655281108,0.30327323224611746,A
22697,GREEN REGENCY TEACUP AND SAUCER,23507.24,8500,933,0.0013529499174442152,0.3046261821635617,A
22866,HAND WARMER SCOTTY DOG DESIGN,23436.660000000003,11667,939,0.0013488877134094919,0.3059750698769712,A
22197,POPCORN HOLDER,23417.51,30919,632,0.001347785542719991,0.3073228554196912,A
84836,ZINC METAL HEART DECORATION,23331.43,19328,1244,0.001342831242304732,0.3086656866619959,A
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,23322.62,12532,408,0.0013423241862329563,0.3100080108482289,A
22551,PLASTERS IN TIN SPACEBOY,23194.95,14623,1156,0.0013349761897876015,0.3113429870380165,A
21485,RETROSPOT HEART HOT WATER BOTTLE,23085.53,4895,815,0.001328678564887071,0.31267166560290355,A
22507,MEMO BOARD RETROSPOT  DESIGN,23083.44,5208,737,0.0013285582757622115,0.3140002238786658,A
22084,PAPER CHAIN KIT EMPIRE,23049.95,8437,704,0.0013266307720342025,0.3153268546507,A
23173,REGENCY TEAPOT ROSES ,23033.52,2662,354,0.0013256851498708346,0.31665253980057084,A
82583,HOT BATHS METAL SIGN,23010.120000000003,11797,820,0.0013243383721092516,0.3179768781726801,A
71459,HANGING JAM JAR T-LIGHT HOLDER,22805.99,29255,815,0.0013125897505506217,0.3192894679232307,A
21930,JUMBO STORAGE BAG SKULLS,22795.28,12305,997,0.001311973340728974,0.3206014412639597,A
22158,3 HEARTS HANGING DECORATION RUSTIC,22471.86,7982,646,0.0012933590303165305,0.3218948002942762,A
22961,JAM MAKING SET PRINTED,22328.95,15867,903,0.001285133901687991,0.3231799341959642,A
22867,HAND WARMER BIRD DESIGN,22168.33,11000,907,0.0012758894810014328,0.3244558236769656,A
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22109.079999999998,4658,385,0.001272479370643578,0.3257283030476092,A
82600,NO SINGING METAL SIGN,22097.04,11194,970,0.0012717864131970202,0.3270000894608062,A
84978,HANGING HEART JAR T-LIGHT HOLDER,22079.739999999998,19012,1087,0.0012707907185271316,0.32827088017933337,A
22383,LUNCH BAG SUKI  DESIGN ,22026.4,13896,1073,0.001267720755885985,0.32953860093521936,A
21212,PACK OF 72 RETRO SPOT CAKE CASES,21838.23,45129,1160,0.0012568907058262808,0.33079549164104566,A
21231,SWEETHEART CERAMIC TRINKET BOX,21793.25,18488,1171,0.0012543018996845712,0.3320497935407302,A
21481,FAWN BLUE HOT WATER BOTTLE,21779.5,7526,834,0.0012535105238631282,0.33330330406459335,A
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,21682.030000000002,7709,1003,0.0012479006764946883,0.334551204741088,A
21212,PACK OF 72 RETROSPOT CAKE CASES,21551.8,44721,1348,0.001240405340260032,0.33579161008134806,A
84946,ANTIQUE SILVER TEA GLASS ETCHED,21540.440000000002,18604,789,0.0012397515199450073,0.33703136160129304,A
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,21490.170000000002,8849,599,0.0012368582499418116,0.33826821985123484,A
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,21458.42,2999,544,0.001235030891226843,0.3395032507424617,A
22835,HOT WATER BOTTLE I AM SO POORLY,21398.28,4638,815,0.0012315695572703643,0.34073482029973207,A
22728,ALARM CLOCK BAKELIKE PINK,21369.98,5833,772,0.0012299407619433215,0.3419647610616754,A
22087,PAPER BUNTING WHITE LACE,21336.350000000002,7752,663,0.0012280052005705852,0.343192766262246,A
84406B,CREAM CUPID HEARTS COAT HANGER,21256.0,6682,724,0.001223380688043098,0.3444161469502891,A
20749,ASSORTED COLOUR MINI CASES,21169.64,2972,726,0.001218410272338384,0.3456345572226275,A
22607,WOODEN ROUNDERS GARDEN SET ,20978.47,2406,643,0.0012074075584630924,0.3468419647810906,A
22113,GREY HEART HOT WATER BOTTLE,20977.78,5623,913,0.0012073678457855072,0.3480493326268761,A
22556,PLASTERS IN TIN CIRCUS PARADE ,20950.16,13112,1100,0.0012057781875899976,0.3492551108144661,A
22090,PAPER BUNTING RETROSPOT,20933.24,7632,658,0.001204804363670084,0.3504599151781362,A
23202,JUMBO BAG VINTAGE LEAF,20921.55,10695,772,0.0012041315503353441,0.3516640467284715,A
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,20838.9,5724,758,0.001199374662215907,0.35286342139068744,A
22605,WOODEN CROQUET GARDEN SET,20813.809999999998,1710,548,0.0011979306171715426,0.354061352007859,A
22090,PAPER BUNTING RETRO SPOTS,20723.25,7595,607,0.0011927184721250061,0.355254070479984,A
23203,JUMBO BAG VINTAGE DOILY ,20641.4,10620,621,0.0011880076276897255,0.3564420781076737,A
21314,SMALL GLASS HEART TRINKET POT,20588.260000000002,10447,711,0.0011849491759696178,0.3576270272836433,A
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20506.300000000003,5366,654,0.0011802320005277656,0.35880725928417107,A
22554,PLASTERS IN TIN WOODLAND ANIMALS,20471.68,12824,1097,0.001178239460095885,0.35998549874426694,A
22698,PINK REGENCY TEACUP AND SAUCER,20329.640000000003,7408,746,0.0011700644039738658,0.3611555631482408,A
48184,DOORMAT ENGLISH ROSE ,20298.8,3158,464,0.0011682894199496255,0.36232385256819044,A
20711,JUMBO BAG TOYS ,20283.78,11326,671,0.0011674249497795836,0.36349127751797,A
22969,HOMEMADE JAM SCENTED CANDLES,20204.8,14012,577,0.001162879287061215,0.3646541568050312,A
37449,CERAMIC CAKE STAND + HANGING CAKES,20204.579999999998,2277,410,0.001162866625048072,0.36581702343007927,A
21790,VINTAGE SNAP CARDS,19957.34,25120,1480,0.0011486368244594488,0.3669656602545387,A
22585,PACK OF 6 BIRDY GIFT TAGS,19950.85,16784,950,0.0011482632950717275,0.3681139235496104,A
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,19921.27,4304,692,0.0011465608298500342,0.36926048437946046,A
84970S,HANGING HEART ZINC T-LIGHT HOLDER,19821.96,25389,1141,0.0011408450820080338,0.3704013294614685,A
22083,PAPER CHAIN KIT RETRO SPOT,19804.550000000003,7351,490,0.0011398430563315741,0.37154117251780006,A
22617,BAKING SET SPACEBOY DESIGN,19719.21,4165,883,0.0011349313463241597,0.3726761038641242,A
22294,HEART FILIGREE DOVE  SMALL,19686.6,16260,707,0.001133054490648723,0.3738091583547729,A
22941,CHRISTMAS LIGHTS 10 REINDEER,19590.9,2487,406,0.0011275465149314797,0.3749367048697044,A
22273,FELTCRAFT DOLL MOLLY,19332.93,7203,701,0.001112699153429105,0.37604940402313347,A
22570,FELTCRAFT CUSHION RABBIT,19282.55,5420,677,0.0011097995524193376,0.3771592035755528,A
21524,DOORMAT SPOTTY HOME SWEET HOME,19215.5,2671,636,0.0011059405161409554,0.37826514409169376,A
48188,DOORMAT WELCOME PUPPIES,19178.670000000002,3345,368,0.0011038207800315922,0.37936896487172533,A
22625,RED KITCHEN SCALES,19149.63,2360,781,0.0011021493942967046,0.38047111426602204,A
21791,VINTAGE HEADS AND TAILS CARD GAME ,19147.65,16199,1050,0.0011020354361784169,0.38157314970220046,A
22568,FELTCRAFT CUSHION OWL,19128.13,5312,771,0.0011009119702849936,0.38267406167248547,A
22569,FELTCRAFT CUSHION BUTTERFLY,18865.21,5357,679,0.0010857797134868994,0.38375984138597236,A
22413,METAL SIGN TAKE IT OR LEAVE IT ,18863.02,6814,766,0.0010856536689015206,0.38484549505487387,A
85150,LADIES & GENTLEMEN METAL SIGN,18847.98,8078,889,0.0010847880476393748,0.38593028310251326,A
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,18798.98,17242,281,0.0010819678719847779,0.38701225097449804,A
22501,PICNIC BASKET WICKER LARGE,18794.25,2055,497,0.0010816956387022015,0.38809394661320024,A
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,18618.75,2525,432,0.0010715948054903289,0.3891655414186906,A
21622,VINTAGE UNION JACK CUSHION COVER,18495.47,3517,550,0.001064499473761784,0.3902300408924524,A
22558,CLOTHES PEGS RETROSPOT PACK 24 ,18411.74,13410,1017,0.001059680426668735,0.3912897213191211,A
21213,PACK OF 72 SKULL CAKE CASES,18319.18,38530,1156,0.0010543531724118067,0.3923440744915329,A
22499,WOODEN UNION JACK BUNTING,18251.280000000002,3165,632,0.001050445214719008,0.39339451970625194,A
23206,LUNCH BAG APPLE DESIGN,18220.5,11530,866,0.0010486736839710796,0.39444319339022305,A
22384,LUNCH BAG PINK POLKADOT,18207.2,11392,1101,0.0010479082077219748,0.39549110159794504,A
21908,CHOCOLATE THIS WAY METAL SIGN,18041.24,9396,801,0.0010383564454436707,0.3965294580433887,A
84949,SILVER HANGING T-LIGHT HOLDER,18001.35,11635,612,0.0010360605922424078,0.3975655186356311,A
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,17888.71,1702,383,0.0010295776415131467,0.39859509627714423,A
22561,WOODEN SCHOOL COLOURING SET,17861.22,11158,838,0.0010279954654163128,0.39962309174256055,A
21174,POTTERING IN THE SHED METAL SIGN,17814.51,9247,855,0.0010253070898076143,0.4006483988323682,A
22555,PLASTERS IN TIN STRONGMAN,17664.44,11048,856,0.0010166698702058722,0.40166506870257407,A
22456,NATURAL SLATE CHALKBOARD LARGE ,17637.16,4016,595,0.0010150997805761293,0.4026801684831502,A
23344,JUMBO BAG 50'S CHRISTMAS ,17636.04,8933,586,0.00101503531941831,0.4036952038025685,A
22427,ENAMEL FLOWER JUG CREAM,17471.23,3039,702,0.001005549744935981,0.4047007535475045,A
21936,RED RETROSPOT PICNIC BAG,17462.96,6292,701,0.0010050737683510115,0.4057058273158555,A
22061,LARGE CAKE STAND  HANGING STRAWBERY,17354.85,2086,443,0.0009988515399832875,0.40670467885583883,A
22147,FELTCRAFT BUTTERFLY HEARTS,17238.05,12605,1026,0.0009921291620964116,0.40769680801793523,A
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,17162.93,15028,559,0.000987805660154099,0.40868461367808934,A
21479,WHITE SKULL HOT WATER BOTTLE ,16917.32,4538,738,0.000973669673571945,0.40965828335166127,A
21136,PAINTED METAL PEARS ASSORTED,16907.51,10255,714,0.0009731050628949736,0.41063138841455626,A
22633,HAND WARMER UNION JACK,16857.36,8364,790,0.0009702186994444016,0.4116016071140007,A
22560,TRADITIONAL MODELLING CLAY,16851.64,14393,655,0.0009698894871026813,0.41257149660110337,A
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,16833.35,21125,585,0.000968836813373649,0.41354033341447705,A
23203,JUMBO BAG DOILEY PATTERNS,16737.1,8735,454,0.0009632971826235479,0.4145036305971006,A
22169,FAMILY ALBUM WHITE PICTURE FRAME,16676.94,2094,570,0.0009598346975749653,0.4154634652946756,A
22505,MEMO BOARD COTTAGE DESIGN,16599.89,3605,655,0.0009554001152446246,0.41641886540992024,A
21218,RED SPOTTY BISCUIT TIN,16431.45,4715,588,0.0009457056175454348,0.41736457102746566,A
22847,BREAD BIN DINER STYLE IVORY,16335.789999999999,1049,435,0.0009401999440123992,0.41830477097147806,A
84992,72 SWEETHEART FAIRY CAKE CASES,16178.47,33936,1176,0.0009311454535229874,0.419235916425001,A
21527,RED RETROSPOT TRADITIONAL TEAPOT ,15892.74,2266,508,0.0009147003761803756,0.4201506168011814,A
21164,HOME SWEET HOME METAL SIGN ,15888.490000000002,5839,630,0.0009144557691082934,0.4210650725702897,A
22297,HEART IVORY TRELLIS SMALL,15836.59,12939,646,0.0009114686850986285,0.4219765412553883,A
22424,ENAMEL BREAD BIN CREAM,15621.65,1300,559,0.0008990978982578312,0.4228756391536461,A
48173C,DOORMAT BLACK FLOCK ,15618.36,2813,290,0.000898908543606737,0.42377454769725287,A
22557,PLASTERS IN TIN VINTAGE PAISLEY ,15614.59,9827,991,0.0008986915627451486,0.424673239259998,A
22083,PAPER CHAIN KIT RETROSPOT,15411.86,5514,585,0.0008870235176337928,0.4255602627776318,A
21877,HOME SWEET HOME MUG,15399.56,13856,650,0.0008863155959898838,0.4264465783736217,A
22383,LUNCH BAG SUKI DESIGN ,15332.9,9570,899,0.0008824790060075281,0.42732905737962923,A
22690,DOORMAT HOME SWEET HOME BLUE ,15329.57,2493,401,0.0008822873491722259,0.42821134472880146,A
71053,WHITE METAL LANTERN,15309.64,4306,583,0.0008811402858906726,0.4290924850146921,A
22662,LUNCH BAG DOLLY GIRL DESIGN,15305.19,9715,872,0.000880884167897551,0.42997336918258966,A
22632,HAND WARMER RED RETROSPOT,15272.52,7578,675,0.0008790038589458025,0.43085237304153545,A
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,15241.51,16445,821,0.0008772190906386789,0.43172959213217416,A
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,15232.34,6418,798,0.000876691314909033,0.4326062834470832,A
22296,HEART IVORY TRELLIS LARGE,15218.08,9416,739,0.00087587058623894,0.43348215403332213,A
84946,ANTIQUE SILVER T-LIGHT GLASS,15176.42,12949,534,0.0008734728613864807,0.43435562689470864,A
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,15172.6,1632,444,0.0008732530027946325,0.43522887989750325,A
20685,DOOR MAT RED SPOT,15093.48,2426,369,0.0008686992824315365,0.4360975791799348,A
22041,"RECORD FRAME 7"" SINGLE SIZE ",15088.77,6845,319,0.000868428200241064,0.4369660073801759,A
21843,RETRO SPOT CAKE STAND,15083.449999999999,1431,295,0.000868122009741422,0.4378341293899173,A
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15067.14,4198,416,0.0008671832941306776,0.43870131268404794,A
20719,WOODLAND CHARLOTTE BAG,15030.64,19027,1062,0.0008650825510410289,0.43956639523508895,A
22634,CHILDS BREAKFAST SET SPACEBOY ,15021.4,1627,464,0.0008645507464890192,0.44043094598157795,A
22502,PICNIC BASKET WICKER SMALL,14945.6,2985,566,0.0008601881074151734,0.4412911340889931,A
22652,TRAVEL SEWING KIT,14859.81,9353,716,0.000855250497835421,0.44214638458682853,A
21975,PACK OF 60 DINOSAUR CAKE CASES,14818.01,30881,1133,0.0008528447153382342,0.4429992293021668,A
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,14796.15,3405,373,0.0008515865716686528,0.44385081587383546,A
22635,CHILDS BREAKFAST SET DOLLY GIRL ,14787.949999999999,1598,450,0.0008511146239060468,0.4447019304977415,A
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,14719.35,4169,578,0.0008471663779896112,0.4455490968757311,A
21914,BLUE HARMONICA IN BOX ,14667.47,11830,815,0.0008441804450720502,0.44639327732080314,A
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,14658.65,2309,510,0.0008436728134542228,0.44723695013425735,A
17003,BROCADE RING PURSE ,14640.96,70082,387,0.0008426546724883081,0.44807960480674563,A
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14626.73,7754,451,0.0008418356704563711,0.448921440477202,A
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,14609.91,4051,460,0.0008408676019969768,0.449762308079199,A
