StockCode,Description,ABC_Class,Velocity,AvgDailyQty,SafetyStock,ReorderPoint,CurrentStock,EOQ,ReorderRecommended
22551,PLASTERS IN TIN SPACEBOY,A,Normal,34.00697674418605,5978.0,6216.0,5594.0,498.0,1
21485,RETROSPOT HEART HOT WATER BOTTLE,A,Normal,21.282608695652176,6949.0,7098.0,4259.0,394.0,1
22507,MEMO BOARD RETROSPOT  DESIGN,A,Normal,13.851063829787234,6931.0,7028.0,10542.0,318.0,0
22084,PAPER CHAIN KIT EMPIRE,A,Normal,27.75328947368421,5335.7,5530.0,3318.0,450.0,1
23173,REGENCY TEAPOT ROSES ,A,Normal,17.629139072847682,7548.6,7672.0,3452.0,359.0,1
82583,HOT BATHS METAL SIGN,A,Normal,29.128395061728394,8112.1,8316.0,2495.0,461.0,1
71459,HANGING JAM JAR T-LIGHT HOLDER,A,Fast Moving,79.93169398907104,15568.5,16128.0,4838.0,764.0,1
21930,JUMBO STORAGE BAG SKULLS,A,Normal,25.850840336134453,2913.0,3094.0,2785.0,434.0,1
22158,3 HEARTS HANGING DECORATION RUSTIC,A,Normal,35.63392857142857,6806.6,7056.0,6350.0,510.0,1
22961,JAM MAKING SET PRINTED,A,Fast Moving,57.90875912408759,9282.6,9688.0,5813.0,650.0,1
22867,HAND WARMER BIRD DESIGN,A,Fast Moving,64.32748538011695,4043.7,4494.0,3370.0,685.0,1
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,A,Normal,33.0354609929078,20712.8,20944.0,21991.0,491.0,0
82600,NO SINGING METAL SIGN,A,Normal,25.21171171171171,7495.5,7672.0,3452.0,429.0,1
84978,HANGING HEART JAR T-LIGHT HOLDER,A,Normal,39.28099173553719,3981.0,4256.0,2554.0,535.0,1
22383,LUNCH BAG SUKI  DESIGN ,A,Fast Moving,44.825806451612905,9906.2,10220.0,7665.0,572.0,1
21212,PACK OF 72 RETRO SPOT CAKE CASES,A,Fast Moving,172.90804597701148,13293.6,14504.0,8702.0,1123.0,1
21231,SWEETHEART CERAMIC TRINKET BOX,A,Fast Moving,42.697459584295615,4433.1,4732.0,1420.0,558.0,1
21481,FAWN BLUE HOT WATER BOTTLE,A,Normal,23.592476489028215,10152.9,10318.0,12382.0,415.0,0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,A,Normal,23.01194029850746,5914.9,6076.0,6380.0,410.0,0
21212,PACK OF 72 RETROSPOT CAKE CASES,A,Fast Moving,128.50862068965517,20660.4,21560.0,9702.0,969.0,1
84946,ANTIQUE SILVER TEA GLASS ETCHED,A,Fast Moving,60.79738562091503,7134.4,7560.0,3402.0,666.0,1
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,A,Fast Moving,56.00632911392405,15834.0,16226.0,14603.0,639.0,1
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,A,Normal,8.667630057803468,4307.3,4368.0,2621.0,252.0,1
22835,HOT WATER BOTTLE I AM SO POORLY,A,Normal,19.405857740585773,4344.2,4480.0,2016.0,376.0,1
22728,ALARM CLOCK BAKELIKE PINK,A,Normal,18.635782747603834,6869.5,7000.0,7350.0,369.0,0
22087,PAPER BUNTING WHITE LACE,A,Normal,26.1010101010101,3289.3,3472.0,3125.0,437.0,1
84406B,CREAM CUPID HEARTS COAT HANGER,A,Normal,17.266149870801033,2273.1,2394.0,718.0,355.0,1
20749,ASSORTED COLOUR MINI CASES,A,Normal,7.43,2818.0,2870.0,3444.0,233.0,0
22607,WOODEN ROUNDERS GARDEN SET ,A,Normal,8.911111111111111,1309.6,1372.0,1852.0,255.0,0
22113,GREY HEART HOT WATER BOTTLE,A,Normal,21.96484375,3640.2,3794.0,5122.0,400.0,0
22556,PLASTERS IN TIN CIRCUS PARADE ,A,Normal,30.997635933806148,12621.0,12838.0,3851.0,476.0,1
22090,PAPER BUNTING RETROSPOT,A,Normal,26.87323943661972,2639.9,2828.0,2121.0,443.0,1
23202,JUMBO BAG VINTAGE LEAF,A,Fast Moving,59.416666666666664,4358.1,4774.0,2864.0,659.0,1
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,A,Normal,19.1438127090301,2134.0,2268.0,2381.0,374.0,0
22605,WOODEN CROQUET GARDEN SET,A,Normal,5.896551724137931,2772.7,2814.0,2955.0,207.0,0
22090,PAPER BUNTING RETRO SPOTS,A,Normal,33.31140350877193,8138.8,8372.0,8791.0,493.0,0
23203,JUMBO BAG VINTAGE DOILY ,A,Fast Moving,98.33333333333333,7599.7,8288.0,7459.0,847.0,1
21314,SMALL GLASS HEART TRINKET POT,A,Normal,25.85891089108911,9395.0,9576.0,15800.0,434.0,0
22722,SET OF 6 SPICE TINS PANTRY DESIGN,A,Normal,27.803108808290155,12965.4,13160.0,9870.0,451.0,1
22554,PLASTERS IN TIN WOODLAND ANIMALS,A,Normal,30.103286384976524,3989.3,4200.0,2520.0,469.0,1
22698,PINK REGENCY TEACUP AND SAUCER,A,Normal,25.633217993079583,4188.6,4368.0,1310.0,433.0,1
48184,DOORMAT ENGLISH ROSE ,A,Normal,12.24031007751938,5094.3,5180.0,2331.0,299.0,1
20711,JUMBO BAG TOYS ,A,Normal,30.28342245989305,9756.0,9968.0,10466.0,470.0,0
22969,HOMEMADE JAM SCENTED CANDLES,A,Fast Moving,54.734375,19944.9,20328.0,30492.0,632.0,0
37449,CERAMIC CAKE STAND + HANGING CAKES,A,Normal,8.625,1969.6,2030.0,1827.0,251.0,1
21790,VINTAGE SNAP CARDS,A,Fast Moving,48.122605363984675,6327.1,6664.0,9996.0,593.0,0
22585,PACK OF 6 BIRDY GIFT TAGS,A,Fast Moving,44.757333333333335,4418.7,4732.0,4969.0,572.0,0
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,A,Normal,20.398104265402843,5177.2,5320.0,3990.0,386.0,1
84970S,HANGING HEART ZINC T-LIGHT HOLDER,A,Fast Moving,52.45661157024794,4840.8,5208.0,3906.0,619.0,1
22083,PAPER CHAIN KIT RETRO SPOT,A,Normal,34.19069767441861,7264.7,7504.0,9005.0,500.0,0
22617,BAKING SET SPACEBOY DESIGN,A,Normal,10.679487179487179,4461.2,4536.0,5443.0,279.0,0
22294,HEART FILIGREE DOVE  SMALL,A,Fast Moving,42.01550387596899,5501.9,5796.0,6955.0,554.0,0
22941,CHRISTMAS LIGHTS 10 REINDEER,A,Normal,19.4296875,5324.0,5460.0,8190.0,377.0,0
22273,FELTCRAFT DOLL MOLLY,A,Normal,18.905511811023622,20111.7,20244.0,6073.0,371.0,1
22570,FELTCRAFT CUSHION RABBIT,A,Normal,16.728395061728396,3578.9,3696.0,3326.0,349.0,1
21524,DOORMAT SPOTTY HOME SWEET HOME,A,Normal,8.193251533742332,1650.6,1708.0,512.0,245.0,1
48188,DOORMAT WELCOME PUPPIES,A,Normal,14.294871794871796,6899.9,7000.0,5250.0,323.0,1
22625,RED KITCHEN SCALES,A,Normal,6.704545454545454,1017.1,1064.0,1596.0,221.0,0
21791,VINTAGE HEADS AND TAILS CARD GAME ,A,Normal,35.99777777777778,14000.0,14252.0,12827.0,513.0,1
22568,FELTCRAFT CUSHION OWL,A,Normal,14.513661202185792,4434.4,4536.0,2041.0,325.0,1
22569,FELTCRAFT CUSHION BUTTERFLY,A,Normal,16.087087087087088,5179.4,5292.0,7144.0,343.0,0
22413,METAL SIGN TAKE IT OR LEAVE IT ,A,Normal,16.538834951456312,19540.2,19656.0,8845.0,347.0,1
85150,LADIES & GENTLEMEN METAL SIGN,A,Normal,20.09452736318408,4227.3,4368.0,7207.0,383.0,0
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,A,Fast Moving,94.73626373626374,34280.8,34944.0,31450.0,832.0,1
22501,PICNIC BASKET WICKER LARGE,A,Normal,9.052863436123348,2750.6,2814.0,3377.0,257.0,0
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,A,Normal,13.873626373626374,1078.9,1176.0,1235.0,318.0,0
21622,VINTAGE UNION JACK CUSHION COVER,A,Normal,12.211805555555555,8986.5,9072.0,5443.0,299.0,1
22558,CLOTHES PEGS RETROSPOT PACK 24 ,A,Normal,39.21052631578947,3533.5,3808.0,1714.0,535.0,1
21213,PACK OF 72 SKULL CAKE CASES,A,Fast Moving,77.99595141700405,17374.0,17920.0,24192.0,755.0,0
22499,WOODEN UNION JACK BUNTING,A,Normal,9.85981308411215,1289.0,1358.0,1426.0,268.0,0
23206,LUNCH BAG APPLE DESIGN,A,Fast Moving,58.826530612244895,5468.2,5880.0,3528.0,655.0,1
22384,LUNCH BAG PINK POLKADOT,A,Normal,34.52121212121212,3944.4,4186.0,3140.0,502.0,1
21908,CHOCOLATE THIS WAY METAL SIGN,A,Normal,21.257918552036198,6739.2,6888.0,11365.0,394.0,0
84949,SILVER HANGING T-LIGHT HOLDER,A,Normal,33.72463768115942,4803.9,5040.0,8316.0,496.0,0
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,A,Normal,7.181434599156118,1741.7,1792.0,1882.0,229.0,0
22561,WOODEN SCHOOL COLOURING SET,A,Normal,28.68380462724936,6183.2,6384.0,8618.0,458.0,0
21174,POTTERING IN THE SHED METAL SIGN,A,Normal,20.826576576576578,4558.2,4704.0,2822.0,390.0,1
22555,PLASTERS IN TIN STRONGMAN,A,Normal,28.183673469387756,12164.7,12362.0,12980.0,454.0,0
22456,NATURAL SLATE CHALKBOARD LARGE ,A,Normal,12.16969696969697,5626.8,5712.0,2570.0,298.0,1
23344,JUMBO BAG 50'S CHRISTMAS ,A,Fast Moving,69.7890625,4775.5,5264.0,5527.0,714.0,0
22427,ENAMEL FLOWER JUG CREAM,A,Normal,10.301694915254238,1355.9,1428.0,1071.0,274.0,1
21936,RED RETROSPOT PICNIC BAG,A,Normal,19.84858044164038,3823.1,3962.0,3566.0,381.0,1
22061,LARGE CAKE STAND  HANGING STRAWBERY,A,Normal,7.0,1659.0,1708.0,1793.0,226.0,0
22147,FELTCRAFT BUTTERFLY HEARTS,A,Normal,27.76431718061674,13399.6,13594.0,16313.0,450.0,0
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,A,Fast Moving,45.265060240963855,5731.1,6048.0,4536.0,575.0,1
21479,WHITE SKULL HOT WATER BOTTLE ,A,Normal,21.71291866028708,4048.0,4200.0,6930.0,398.0,0
21136,PAINTED METAL PEARS ASSORTED,A,Normal,26.498708010335918,4966.5,5152.0,7728.0,440.0,0
22633,HAND WARMER UNION JACK,A,Fast Moving,56.13422818791946,4633.1,5026.0,3016.0,640.0,1
22560,TRADITIONAL MODELLING CLAY,A,Fast Moving,41.71884057971015,11398.0,11690.0,14028.0,552.0,0
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,A,Fast Moving,65.80996884735202,10207.3,10668.0,9601.0,693.0,1
23203,JUMBO BAG DOILEY PATTERNS,A,Fast Moving,95.98901098901099,8638.1,9310.0,9776.0,837.0,0
22169,FAMILY ALBUM WHITE PICTURE FRAME,A,Normal,5.932011331444759,1778.5,1820.0,1092.0,208.0,1
22505,MEMO BOARD COTTAGE DESIGN,A,Normal,10.154929577464788,1986.9,2058.0,2161.0,272.0,0
21218,RED SPOTTY BISCUIT TIN,A,Normal,13.133704735376044,1672.1,1764.0,1058.0,310.0,1
22847,BREAD BIN DINER STYLE IVORY,A,Normal,5.019138755980861,594.9,630.0,850.0,191.0,0
84992,72 SWEETHEART FAIRY CAKE CASES,A,Fast Moving,69.39877300613497,23090.2,23576.0,7073.0,712.0,1
21527,RED RETROSPOT TRADITIONAL TEAPOT ,A,Normal,9.93859649122807,2814.4,2884.0,2163.0,269.0,1
21164,HOME SWEET HOME METAL SIGN ,A,Normal,15.61229946524064,4174.7,4284.0,5783.0,338.0,0
22297,HEART IVORY TRELLIS SMALL,A,Normal,36.55084745762712,4784.1,5040.0,5292.0,517.0,0
22424,ENAMEL BREAD BIN CREAM,A,Normal,4.100946372239748,1385.3,1414.0,848.0,173.0,1
48173C,DOORMAT BLACK FLOCK ,A,Normal,13.721951219512196,6917.9,7014.0,2104.0,316.0,1
22557,PLASTERS IN TIN VINTAGE PAISLEY ,A,Normal,23.565947242206235,8249.0,8414.0,5048.0,415.0,1
22083,PAPER CHAIN KIT RETROSPOT,A,Normal,20.05090909090909,2099.6,2240.0,2352.0,383.0,0
21877,HOME SWEET HOME MUG,A,Normal,36.753315649867375,15030.7,15288.0,25225.0,518.0,0
22383,LUNCH BAG SUKI DESIGN ,A,Fast Moving,42.34513274336283,3763.6,4060.0,2436.0,556.0,1
22690,DOORMAT HOME SWEET HOME BLUE ,A,Normal,10.430962343096235,4141.0,4214.0,6953.0,276.0,0
71053,WHITE METAL LANTERN,A,Normal,12.66470588235294,2627.3,2716.0,4481.0,304.0,0
22662,LUNCH BAG DOLLY GIRL DESIGN,A,Normal,27.521246458923514,3503.4,3696.0,4990.0,448.0,0
22632,HAND WARMER RED RETROSPOT,A,Fast Moving,51.55102040816327,3685.1,4046.0,4248.0,613.0,0
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,A,Normal,38.785377358490564,6196.5,6468.0,3881.0,532.0,1
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,A,Normal,16.54123711340206,2628.2,2744.0,2058.0,347.0,1
22296,HEART IVORY TRELLIS LARGE,A,Normal,25.04255319148936,3352.7,3528.0,3704.0,428.0,0
