Customer ID,Recency,Frequency,Monetary,TotalOrders,TotalProducts,AvgOrderValue,LifetimeRevenue,FirstPurchase,LastPurchase,CustomerAgeDays,DaysSinceLastPurchase
12362,3,11,5356.23,11,2230,20.06078651685393,5356.23,2009-12-01 10:10:00,2011-12-06 15:40:00,735,3
12363,110,2,552.0,2,408,24.0,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,132,110
12364,8,4,1313.1,4,1506,15.448235294117646,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,104,8
12365,291,2,641.38,2,174,29.153636363636362,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,0,291
12366,634,1,500.24,1,296,166.74666666666667,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,0,634
12367,4,1,168.9,1,173,15.354545454545455,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,0,4
12368,628,1,917.7,1,330,50.983333333333334,917.7,2010-03-21 15:56:00,2010-03-21 15:56:00,0,628
12369,413,3,1791.1499999999999,3,1241,19.259677419354837,1791.1499999999999,2010-03-08 08:09:00,2010-10-22 13:13:00,228,413
12370,51,7,4316.5599999999995,7,2604,21.475422885572137,4316.5599999999995,2010-02-09 09:41:00,2011-10-19 14:51:00,617,51
12371,45,5,4067.38,5,1436,24.35556886227545,4067.38,2010-03-04 18:23:00,2011-10-26 10:16:00,600,45
12372,72,3,1298.04,3,794,24.962307692307693,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,224,72
12373,311,3,1127.65,3,516,22.110784313725492,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,362,311
12374,25,4,2989.22,4,1362,36.01469879518072,2989.22,2010-04-30 14:01:00,2011-11-14 15:37:00,563,25
12375,11,2,457.5,2,178,26.91176470588235,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,87,11
12376,390,2,503.15,2,240,38.70384615384615,503.15,2010-10-18 08:42:00,2010-11-15 12:15:00,28,390
12377,315,4,3426.32,4,2105,22.54157894736842,3426.32,2010-04-29 15:34:00,2011-01-28 15:45:00,274,315
12378,130,2,5416.32,2,3316,17.994418604651162,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,432,130
12379,82,4,1620.22,4,815,20.002716049382716,1620.22,2010-06-23 12:49:00,2011-09-19 10:09:00,452,82
12380,22,11,9676.3,11,3355,34.93249097472924,9676.3,2010-02-15 12:05:00,2011-11-18 11:27:00,640,22
12381,5,5,1845.31,5,808,21.21045977011494,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,115,5
12383,185,5,1850.56,5,1532,18.69252525252525,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,167,185
12384,29,2,585.27,2,126,21.676666666666666,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,92,29
12385,379,1,1938.4,1,612,29.821538461538463,1938.4,2010-11-25 15:14:00,2010-11-25 15:14:00,0,379
12386,338,2,401.9,2,354,40.19,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,29,338
12387,415,1,143.94,1,134,15.993333333333332,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,0,415
12388,16,8,3901.11,8,2001,26.719931506849317,3901.11,2010-05-06 12:54:00,2011-11-24 12:30:00,566,16
12389,403,3,1433.33,3,614,29.251632653061222,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,253,403
12390,80,1,549.84,1,353,17.1825,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,0,80
12391,22,6,2724.84,6,1204,10.205393258426966,2724.84,2010-02-15 10:12:00,2011-11-18 12:07:00,641,22
12392,591,1,234.75,1,73,33.535714285714285,234.75,2010-04-27 14:04:00,2010-04-27 14:04:00,0,591
12393,72,6,2399.45,6,1311,22.424766355140186,2399.45,2010-10-07 13:49:00,2011-09-28 15:41:00,356,72
12394,64,2,1272.48,2,819,47.12888888888889,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,153,64
12395,19,15,4721.17,15,3205,19.50896694214876,4721.17,2010-04-16 10:16:00,2011-11-20 15:21:00,583,19
12396,674,1,931.43,1,591,14.329692307692307,931.43,2010-02-03 13:22:00,2010-02-03 13:22:00,0,674
12397,36,2,2409.9,2,1263,19.126190476190477,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,99,36
12398,46,1,1635.6599999999999,1,1394,19.24305882352941,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,0,46
12399,119,7,1962.3,7,2198,17.83909090909091,1962.3,2010-03-05 08:45:00,2011-08-12 13:15:00,525,119
12400,414,1,205.25,1,91,18.65909090909091,205.25,2010-10-21 13:45:00,2010-10-21 13:45:00,0,414
12401,303,1,84.3,1,11,16.86,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,0,303
12402,323,6,1256.9,6,584,17.955714285714286,1256.9,2010-02-07 12:41:00,2011-01-20 13:49:00,347,323
12403,50,2,1019.36,2,260,113.26222222222222,1019.36,2010-07-06 11:39:00,2011-10-21 10:51:00,471,50
12404,682,1,63.24,1,1,63.24,63.24,2010-01-26 16:25:00,2010-01-26 16:25:00,0,682
12405,149,1,1710.3899999999999,1,857,31.673888888888886,1710.3899999999999,2011-07-14 08:52:00,2011-07-14 08:52:00,0,149
12406,22,5,6390.36,5,3416,38.49614457831325,6390.36,2010-01-11 14:04:00,2011-11-17 19:22:00,675,22
12407,50,5,1708.12,5,1416,22.18337662337662,1708.12,2011-03-20 13:21:00,2011-10-21 10:11:00,214,50
12408,33,8,4340.77,8,2229,27.30044025157233,4340.77,2010-07-29 13:27:00,2011-11-07 12:27:00,465,33
12409,79,7,23419.29,7,13143,88.70943181818183,23419.29,2010-05-23 15:21:00,2011-09-22 10:38:00,486,79
12410,309,3,1013.71,3,341,25.342750000000002,1013.71,2010-07-25 13:26:00,2011-02-04 10:39:00,193,309
12411,410,1,346.9,1,138,15.768181818181818,346.9,2010-10-26 09:25:00,2010-10-26 09:25:00,0,410
12412,75,6,2596.93,6,1997,20.448267716535433,2596.93,2010-06-18 13:22:00,2011-09-26 10:16:00,464,75
12413,67,4,999.45,4,319,19.597058823529412,999.45,2010-11-02 13:26:00,2011-10-04 09:00:00,335,67
12414,217,6,952.41,6,495,34.01464285714285,952.41,2010-09-02 12:22:00,2011-05-06 14:51:00,246,217
12415,24,28,144458.37,28,91447,156.00255939524837,144458.37,2010-06-30 08:30:00,2011-11-15 14:22:00,503,24
12416,657,1,202.56,1,132,18.414545454545454,202.56,2010-02-21 10:19:00,2010-02-21 10:19:00,0,657
12417,3,20,6797.41,20,2884,18.421165311653116,6797.41,2009-12-06 10:30:00,2011-12-06 14:52:00,730,3
12418,113,4,2021.2,4,1088,19.815686274509805,2021.2,2010-03-19 14:47:00,2011-08-19 11:08:00,517,113
12419,386,2,503.01,2,231,20.1204,503.01,2010-10-22 10:40:00,2010-11-19 10:04:00,27,386
12420,64,1,600.39,1,345,20.70310344827586,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,0,64
12421,16,6,1098.6,6,652,16.90153846153846,1098.6,2010-07-22 13:57:00,2011-11-24 09:07:00,489,16
12422,96,17,5231.8,17,2596,30.417441860465118,5231.8,2009-12-18 12:44:00,2011-09-05 09:48:00,625,96
12423,1,10,2622.39,10,1793,15.893272727272727,2622.39,2010-08-31 09:31:00,2011-12-09 10:10:00,465,1
12424,163,4,3340.0299999999997,4,2025,36.30467391304347,3340.0299999999997,2010-06-09 15:15:00,2011-06-30 12:06:00,385,163
12425,78,2,1741.41,2,1147,19.136373626373626,1741.41,2010-09-17 14:10:00,2011-09-22 17:31:00,370,78
12426,195,2,1345.21,2,584,17.470259740259742,1345.21,2010-02-15 08:41:00,2011-05-29 12:26:00,468,195
12427,22,3,825.8000000000001,3,533,26.638709677419357,825.8000000000001,2010-12-03 10:44:00,2011-11-18 08:56:00,349,22
12428,26,9,7956.46,9,3536,27.062789115646257,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,257,26
12429,9,8,6204.41,8,2890,40.55169934640523,6204.41,2010-06-11 13:28:00,2011-11-30 17:22:00,537,9
12430,43,1,256.4,1,117,23.30909090909091,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,0,43
12431,36,27,10432.22,27,4600,26.749282051282048,10432.22,2010-01-15 09:04:00,2011-11-04 11:55:00,658,36
12432,43,5,5059.32,5,1801,46.845555555555556,5059.32,2011-06-20 13:27:00,2011-10-28 11:43:00,129,43
12433,1,10,16794.14,10,13534,30.04318425760286,16794.14,2010-08-20 09:23:00,2011-12-09 10:02:00,476,1
12434,85,3,1103.43,3,532,15.763285714285715,1103.43,2010-11-23 13:38:00,2011-09-16 12:38:00,296,85
12435,80,6,13925.93,6,4958,124.33866071428572,13925.93,2009-12-02 13:58:00,2011-09-21 09:06:00,657,80
12436,100,1,509.01,1,211,31.813125,509.01,2011-09-01 12:09:00,2011-09-01 12:09:00,0,100
12437,2,39,12683.4,39,8000,22.52824156305506,12683.4,2009-12-02 16:24:00,2011-12-08 11:35:00,735,2
12438,14,2,2906.85,2,1180,29.66173469387755,2906.85,2011-07-22 13:29:00,2011-11-25 13:28:00,125,14
12439,683,2,1142.88,2,478,16.096901408450705,1142.88,2009-12-14 08:40:00,2010-01-26 12:11:00,43,683
12440,462,2,859.2,2,331,26.85,859.2,2009-12-22 12:03:00,2010-09-03 13:11:00,255,462
12441,367,1,173.55,1,121,15.77727272727273,173.55,2010-12-08 10:45:00,2010-12-08 10:45:00,0,367
12442,3,1,172.06,1,182,14.338333333333333,172.06,2011-12-06 14:22:00,2011-12-06 14:22:00,0,3
12443,732,1,485.31,1,182,23.11,485.31,2009-12-07 15:42:00,2009-12-07 15:42:00,0,732
12444,21,5,5005.46,5,1153,28.440113636363638,5005.46,2011-06-21 14:00:00,2011-11-18 13:23:00,149,21
12445,22,2,434.98,2,206,18.124166666666667,434.98,2010-10-15 12:28:00,2011-11-17 18:43:00,398,22
12446,58,1,1002.31,1,351,17.58438596491228,1002.31,2011-10-13 12:50:00,2011-10-13 12:50:00,0,58
12447,243,1,476.49,1,190,18.326538461538462,476.49,2011-04-10 13:25:00,2011-04-10 13:25:00,0,243
12448,44,1,449.45,1,243,20.429545454545455,449.45,2011-10-26 13:46:00,2011-10-26 13:46:00,0,44
12449,22,6,4835.89,6,2282,24.05915422885572,4835.89,2010-09-27 09:37:00,2011-11-17 13:46:00,416,22
12450,156,5,688.2,5,442,18.6,688.2,2010-08-22 13:11:00,2011-07-06 14:41:00,318,156
12451,11,8,12669.88,8,9359,24.794285714285714,12669.88,2010-06-28 12:58:00,2011-11-29 08:40:00,518,11
12452,17,2,430.57,2,185,19.571363636363635,430.57,2011-11-23 08:05:00,2011-11-23 10:28:00,0,17
12453,134,1,707.09,1,473,16.443953488372095,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,0,134
12454,56,5,16679.78,5,7703,416.99449999999996,16679.78,2010-10-14 17:33:00,2011-10-14 17:13:00,364,56
12455,73,10,5879.95,10,3302,25.902863436123347,5879.95,2009-12-18 12:33:00,2011-09-27 15:31:00,648,73
12456,44,3,3181.04,3,1633,25.44832,3181.04,2011-03-30 09:12:00,2011-10-26 14:41:00,210,44
12457,66,8,2995.91,8,1094,35.665595238095236,2995.91,2010-09-30 17:59:00,2011-10-04 13:13:00,368,66
12458,71,4,1777.49,4,986,21.160595238095237,1777.49,2010-08-09 10:33:00,2011-09-29 15:25:00,416,71
12459,605,1,454.36,1,258,19.754782608695653,454.36,2010-04-13 14:53:00,2010-04-13 14:53:00,0,605
12460,456,1,326.65,1,170,18.147222222222222,326.65,2010-09-09 13:51:00,2010-09-09 13:51:00,0,456
12461,94,2,826.88,2,287,23.62514285714286,826.88,2011-07-08 10:23:00,2011-09-06 16:57:00,60,94
12462,19,2,1189.59,2,536,19.186935483870965,1189.59,2011-02-09 14:44:00,2011-11-21 09:11:00,284,19
12463,53,4,1344.78,4,776,16.202168674698793,1344.78,2011-04-12 12:47:00,2011-10-17 13:44:00,188,53
12464,10,8,1212.05,8,112,41.79482758620689,1212.05,2011-02-03 13:30:00,2011-11-29 13:33:00,299,10
12465,17,2,742.1899999999999,2,479,15.79127659574468,742.1899999999999,2011-06-23 13:37:00,2011-11-22 16:34:00,152,17
12466,682,1,56.73,1,1,56.73,56.73,2010-01-26 16:26:00,2010-01-26 16:26:00,0,682
12467,423,1,132.8,1,129,14.755555555555556,132.8,2010-10-12 15:41:00,2010-10-12 15:41:00,0,423
12468,188,5,3670.74,5,2201,24.4716,3670.74,2010-01-26 10:09:00,2011-06-05 11:36:00,495,188
12469,523,2,3070.54,2,2552,40.40184210526316,3070.54,2010-06-21 10:30:00,2010-07-05 12:40:00,14,523
12470,690,1,211.95,1,95,9.215217391304348,211.95,2010-01-19 11:01:00,2010-01-19 11:01:00,0,690
12471,2,79,39918.19,79,16858,35.17021145374449,39918.19,2009-12-07 10:41:00,2011-12-07 15:43:00,730,2
12472,32,19,16249.289999999999,19,10378,19.321391200951247,16249.289999999999,2009-12-14 10:49:00,2011-11-07 14:01:00,693,32
12473,29,5,3928.05,5,2414,23.521257485029942,3928.05,2011-06-01 10:15:00,2011-11-10 13:46:00,162,29
12474,17,31,12372.75,31,7940,17.47563559322034,12372.75,2010-02-11 09:41:00,2011-11-22 14:39:00,649,17
12475,54,2,1149.64,2,771,18.846557377049184,1149.64,2010-10-26 08:49:00,2011-10-17 10:10:00,356,54
12476,16,23,14083.91,23,5631,27.400603112840468,14083.91,2010-07-26 09:04:00,2011-11-24 12:40:00,486,16
12477,23,9,20276.37,9,6119,35.95101063829787,20276.37,2010-03-26 14:01:00,2011-11-17 09:51:00,600,23
12478,4,1,680.99,1,236,18.91638888888889,680.99,2011-12-06 09:56:00,2011-12-06 09:56:00,0,4
12479,11,1,527.2,1,385,17.006451612903227,527.2,2011-11-28 13:26:00,2011-11-28 13:26:00,0,11
12480,28,7,5464.85,7,2952,22.58202479338843,5464.85,2010-07-20 13:21:00,2011-11-11 14:52:00,479,28
12481,23,15,12185.51,15,7158,32.06713157894737,12185.51,2010-04-11 13:10:00,2011-11-17 08:29:00,584,23
12482,576,29,23691.4,29,27042,116.1343137254902,23691.4,2010-02-24 10:24:00,2010-05-12 16:51:00,77,576
12483,17,19,5097.18,19,2160,36.93608695652174,5097.18,2010-01-31 13:28:00,2011-11-22 17:02:00,660,17
12484,33,12,6354.1,12,3266,13.490658174097666,6354.1,2010-01-27 16:41:00,2011-11-07 11:37:00,648,33
12485,529,1,708.1,1,414,20.826470588235296,708.1,2010-06-28 15:22:00,2010-06-28 15:22:00,0,529
12486,432,1,1037.28,1,523,21.168979591836734,1037.28,2010-10-04 12:14:00,2010-10-04 12:14:00,0,432
12487,731,1,285.3,1,174,142.65,285.3,2009-12-09 11:36:00,2009-12-09 11:36:00,0,731
12488,10,3,1298.66,3,529,23.612000000000002,1298.66,2011-09-25 10:34:00,2011-11-30 08:50:00,65,10
12489,336,1,334.93,1,105,22.328666666666667,334.93,2011-01-07 13:13:00,2011-01-07 13:13:00,0,336
12490,5,21,9823.64,21,5906,21.26329004329004,9823.64,2009-12-01 12:52:00,2011-12-04 16:07:00,733,5
12491,39,1,460.4,1,260,17.707692307692305,460.4,2011-11-01 12:18:00,2011-11-01 12:18:00,0,39
12492,63,3,715.21,3,444,17.028809523809525,715.21,2010-11-01 14:58:00,2011-10-07 15:15:00,340,63
12493,166,2,433.74,2,207,19.715454545454545,433.74,2011-05-26 14:53:00,2011-06-27 10:17:00,31,166
12494,16,9,1815.27,9,979,16.808055555555555,1815.27,2010-05-12 13:52:00,2011-11-24 09:34:00,560,16
12495,641,1,357.4,1,130,21.023529411764706,357.4,2010-03-09 10:53:00,2010-03-09 10:53:00,0,641
12496,620,2,45.34,2,30,4.534000000000001,45.34,2010-03-29 13:57:00,2010-03-29 14:06:00,0,620
12497,82,3,6248.5,3,5685,109.62280701754386,6248.5,2010-03-05 09:39:00,2011-09-19 12:29:00,563,82
12498,21,3,403.7,3,159,17.55217391304348,403.7,2011-10-13 09:30:00,2011-11-18 12:53:00,36,21
12499,560,1,393.72,1,302,14.582222222222223,393.72,2010-05-28 15:12:00,2010-05-28 15:12:00,0,560
12500,23,19,5955.21,19,3377,40.7891095890411,5955.21,2010-02-04 15:05:00,2011-11-16 16:20:00,650,23
12501,337,1,2169.39,1,1783,14.559664429530201,2169.39,2011-01-07 12:28:00,2011-01-07 12:28:00,0,337
12502,96,5,3723.87,5,820,25.332448979591835,3723.87,2011-02-03 10:41:00,2011-09-05 11:52:00,214,96
12503,584,1,1126.0,1,561,563.0,1126.0,2010-05-04 13:59:00,2010-05-04 13:59:00,0,584
12504,18,4,779.05,4,458,38.9525,779.05,2010-04-22 10:24:00,2011-11-21 16:02:00,578,18
12505,409,1,955.2,1,324,22.742857142857144,955.2,2010-10-27 09:18:00,2010-10-27 09:18:00,0,409
12506,233,1,73.5,1,23,3.1956521739130435,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,0,233
12507,134,4,1844.06,4,1256,37.633877551020404,1844.06,2010-05-04 09:23:00,2011-07-28 17:09:00,450,134
12508,26,2,397.88,2,271,5.851176470588236,397.88,2011-11-10 16:27:00,2011-11-13 15:37:00,2,26
12509,284,1,176.5,1,55,25.214285714285715,176.5,2011-02-28 14:45:00,2011-02-28 14:45:00,0,284
12510,143,9,5178.02,9,2049,35.71048275862069,5178.02,2009-12-04 13:47:00,2011-07-20 10:15:00,592,143
12511,429,1,3084.02,1,1753,16.231684210526314,3084.02,2010-10-07 10:39:00,2010-10-07 10:39:00,0,429
12512,66,2,132.18,2,96,4.263870967741935,132.18,2011-10-04 14:53:00,2011-10-04 14:55:00,0,66
12513,113,1,612.29,1,462,17.494,612.29,2011-08-19 10:51:00,2011-08-19 10:51:00,0,113
12514,267,2,1597.76,2,840,19.02095238095238,1597.76,2010-03-08 12:18:00,2011-03-17 16:38:00,374,267
12515,353,1,383.7,1,131,23.98125,383.7,2010-12-21 15:43:00,2010-12-21 15:43:00,0,353
12516,78,4,2648.62,4,1952,35.792162162162164,2648.62,2010-04-19 14:14:00,2011-09-23 09:13:00,521,78
12517,28,5,2481.6,5,1361,8.894623655913978,2481.6,2011-06-02 15:13:00,2011-11-11 14:04:00,161,28
12518,1,5,2056.89,5,1318,16.58782258064516,2056.89,2011-08-21 13:18:00,2011-12-09 10:13:00,109,1
12519,64,2,716.54,2,387,18.37282051282051,716.54,2010-08-20 08:21:00,2011-10-07 09:26:00,413,64
12520,79,5,2634.2599999999998,5,1439,17.33065789473684,2634.2599999999998,2011-03-11 11:35:00,2011-09-21 15:23:00,194,79
12521,143,1,599.68,1,309,15.781052631578946,599.68,2011-07-20 10:51:00,2011-07-20 10:51:00,0,143
12522,39,2,192.72,2,194,16.06,192.72,2011-10-19 14:41:00,2011-10-31 15:30:00,12,39
12523,19,23,4352.35,23,2263,17.479317269076308,4352.35,2009-12-07 13:46:00,2011-11-20 12:55:00,712,19
12524,9,17,11126.11,17,7178,46.35879166666667,11126.11,2010-02-08 14:41:00,2011-11-30 15:31:00,660,9
12525,498,3,973.73,3,509,16.228833333333334,973.73,2010-03-02 14:01:00,2010-07-29 16:08:00,149,498
12526,1,3,1316.66,3,632,18.54450704225352,1316.66,2011-09-06 14:19:00,2011-12-09 12:09:00,93,1
12527,82,5,735.51,5,526,22.9846875,735.51,2010-06-28 15:37:00,2011-09-19 11:55:00,447,82
12528,9,6,1933.48,6,756,21.01608695652174,1933.48,2011-01-31 09:05:00,2011-11-30 14:40:00,303,9
12529,528,1,316.48,1,192,15.07047619047619,316.48,2010-06-29 13:10:00,2010-06-29 13:10:00,0,528
12530,60,9,3759.2599999999998,9,2713,23.79278481012658,3759.2599999999998,2010-03-07 14:37:00,2011-10-11 12:34:00,582,60
12531,15,2,1933.2,2,1119,15.222047244094489,1933.2,2010-01-22 14:17:00,2011-11-25 11:12:00,671,15
12532,30,1,349.83,1,153,21.864375,349.83,2011-11-09 13:47:00,2011-11-09 13:47:00,0,30
12533,628,2,1367.89,2,704,18.998472222222222,1367.89,2009-12-01 11:50:00,2010-03-22 10:56:00,110,628
12534,131,1,1089.18,1,651,17.28857142857143,1089.18,2011-08-01 10:26:00,2011-08-01 10:26:00,0,131
12535,92,2,716.35,2,219,21.069117647058825,716.35,2011-06-06 12:47:00,2011-09-09 08:48:00,94,92
12536,43,3,12601.830000000002,3,2803,48.282873563218395,12601.830000000002,2011-10-11 14:52:00,2011-10-27 14:20:00,15,43
12537,409,1,732.9399999999999,1,449,17.045116279069767,732.9399999999999,2010-10-27 08:36:00,2010-10-27 08:36:00,0,409
12538,29,2,640.45,2,336,18.836764705882356,640.45,2010-11-26 13:02:00,2011-11-10 17:16:00,349,29
12539,22,7,11214.75,7,4535,22.251488095238095,11214.75,2009-12-23 13:00:00,2011-11-17 13:30:00,694,22
12540,20,33,22254.489999999998,33,11019,28.86444876783398,22254.489999999998,2009-12-07 16:56:00,2011-11-20 11:31:00,712,20
12541,30,3,981.18,3,680,18.868846153846153,981.18,2011-03-04 09:32:00,2011-11-10 10:40:00,251,30
12542,484,2,481.88,2,522,12.355897435897436,481.88,2010-03-09 16:26:00,2010-08-12 19:12:00,156,484
12543,448,1,980.25,1,688,22.796511627906977,980.25,2010-09-17 15:51:00,2010-09-17 15:51:00,0,448
12544,36,1,372.7,1,136,19.61578947368421,372.7,2011-11-03 16:15:00,2011-11-03 16:15:00,0,36
12545,75,2,1000.39,2,523,20.0078,1000.39,2011-03-25 12:04:00,2011-09-25 13:39:00,184,75
12546,47,2,1161.5,2,633,16.833333333333332,1161.5,2011-09-23 09:44:00,2011-10-24 12:09:00,31,47
12547,198,3,383.58,3,309,18.265714285714285,383.58,2010-07-27 13:55:00,2011-05-26 12:38:00,302,198
12548,166,1,95.19999999999999,1,49,19.04,95.19999999999999,2011-06-26 15:35:00,2011-06-26 15:35:00,0,166
12549,576,6,1575.6799999999998,6,1366,32.156734693877546,1575.6799999999998,2010-01-11 12:29:00,2010-05-13 12:05:00,121,576
12550,79,1,964.83,1,569,16.92684210526316,964.83,2011-09-21 14:35:00,2011-09-21 14:35:00,0,79
12551,358,1,168.0,1,100,16.8,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,0,358
12552,39,2,437.82,2,88,21.891,437.82,2011-10-31 12:11:00,2011-11-01 10:02:00,0,39
12553,8,12,4608.75,12,2325,19.36449579831933,4608.75,2010-10-12 13:35:00,2011-12-01 16:38:00,415,8
12554,449,1,468.5,1,240,18.01923076923077,468.5,2010-09-17 12:29:00,2010-09-17 12:29:00,0,449
12555,682,1,129.23,1,1,129.23,129.23,2010-01-26 16:26:00,2010-01-26 16:26:00,0,682
12556,50,2,599.56,2,355,5.038319327731092,599.56,2011-07-11 13:35:00,2011-10-20 13:06:00,100,50
12557,16,8,18096.14,8,6382,341.4366037735849,18096.14,2009-12-17 10:39:00,2011-11-23 16:59:00,706,16
12558,8,1,269.96,1,196,24.54181818181818,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,0,8
12559,311,2,561.71,2,283,26.74809523809524,561.71,2011-01-24 10:12:00,2011-02-02 09:49:00,8,311
12560,5,3,2134.0099999999998,3,1110,20.32390476190476,2134.0099999999998,2011-07-19 15:55:00,2011-12-04 13:54:00,137,5
12561,303,1,238.85,1,177,14.928125,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,0,303
12562,8,9,4966.92,9,2327,23.99478260869565,4966.92,2010-09-30 13:13:00,2011-12-01 17:20:00,427,8
12563,409,1,249.24,1,113,19.172307692307694,249.24,2010-10-27 09:52:00,2010-10-27 09:52:00,0,409
12564,261,1,456.9,1,133,21.757142857142856,456.9,2011-03-23 14:55:00,2011-03-23 14:55:00,0,261
12565,289,1,145.92,1,80,16.21333333333333,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,0,289
12566,86,1,351.65,1,265,18.507894736842104,351.65,2011-09-14 14:30:00,2011-09-14 14:30:00,0,86
12567,23,15,11767.48,15,5308,21.16453237410072,11767.48,2010-02-11 10:30:00,2011-11-17 11:02:00,644,23
12568,645,1,70.0,1,48,14.0,70.0,2010-03-05 09:15:00,2010-03-05 09:15:00,0,645
12569,2,32,4124.69,32,1801,21.939840425531912,4124.69,2011-04-01 13:47:00,2011-12-07 16:24:00,250,2
12570,682,1,77.52,1,1,77.52,77.52,2010-01-26 17:28:00,2010-01-26 17:28:00,0,682
12571,40,2,519.61,2,523,15.28264705882353,519.61,2011-08-10 12:35:00,2011-10-31 10:19:00,81,40
12572,9,2,1020.42,2,452,17.006999999999998,1020.42,2011-10-19 08:20:00,2011-12-01 09:20:00,43,9
12573,227,5,717.41,5,479,6.028655462184874,717.41,2010-08-31 17:25:00,2011-04-26 15:52:00,237,227
12574,316,1,218.45,1,61,19.85909090909091,218.45,2011-01-28 09:20:00,2011-01-28 09:20:00,0,316
12575,457,2,622.82,2,315,16.39,622.82,2010-07-01 09:15:00,2010-09-08 13:09:00,69,457
12576,36,8,2142.72,8,1494,15.08957746478873,2142.72,2010-07-01 13:46:00,2011-11-04 10:11:00,490,36
12577,35,8,1617.1,8,1191,5.426510067114093,1617.1,2009-12-03 19:31:00,2011-11-04 13:24:00,700,35
12578,21,4,4642.45,4,2380,26.99098837209302,4642.45,2010-09-22 11:19:00,2011-11-18 13:30:00,422,21
12579,78,1,440.42,1,285,15.18689655172414,440.42,2011-09-22 17:15:00,2011-09-22 17:15:00,0,78
12580,247,2,1052.9,2,569,18.153448275862072,1052.9,2010-05-12 11:45:00,2011-04-07 10:24:00,329,247
12581,40,1,197.71,1,161,13.180666666666667,197.71,2011-10-31 08:56:00,2011-10-31 08:56:00,0,40
